Nor_Vel,East_Vel,Down_Vel,LAT,Long,Nx_Accel,Ny_Accel,Nz_Accel,Nor_Accel,Mag_Head,Roll,Pitch,True_Head,Gnd_Track,Roll_Rate,Pitch_Rate,Yaw_Rate,TAS,CAS,Gnd_Speed,MACH,True_AOA,Indi_AOA,Corr_Alt,SYS_Alt,BARO_Alt,RALT_Alt,Wind_Mag,Wind_Dir,MS_Mode,AC_Mode,FOM,Fuel,UTC
-282,622,-14,-0.172437,-0.281149,0.40005,1.209675,18.849976,1.916476,126,0.565796,9.711914,111.813354,128,-0.175781,2.021484,-0.065918,544,367,683,0.90625,4,1,27663,27860,27678,,144,318,2,12,1,3488,54810676
-282,622,-15,-0.172438,-0.281147,0.485775,1.019175,18.745201,1.902553,126,0.527344,9.920654,111.802368,128,-0.966797,2.06543,-0.109863,544,367,683,0.90625,4,1,27670,27868,27685,,144,318,2,12,1,3487,54810768
-282,622,-17,-0.172439,-0.281145,0.466725,1.285875,18.811874,1.912836,126,0.549316,10.134888,111.796875,128,0.593262,2.175293,-0.109863,544,367,683,0.90625,5,1,27685,27876,27698,,144,318,2,12,1,3487,54810876
-282,621,-17,-0.17244,-0.281143,0.523875,1.2573,18.964275,1.927152,126,0.587769,10.360107,111.785889,128,0.219727,2.263184,-0.087891,544,367,682,0.90625,5,1,27688,27884,27700,,144,318,2,12,1,3487,54810968
-282,621,-19,-0.17244,-0.281142,0.47625,1.419225,19.116674,1.944108,126,0.681152,10.596313,111.785889,128,0.98877,2.351074,-0.043945,544,367,682,0.90625,5,1,27698,27896,27713,,144,318,2,12,1,3488,54811076
-282,621,-20,-0.172441,-0.28114,0.55245,1.495425,19.2024,1.953613,126,0.780029,10.838013,111.780396,128,0.878906,2.39502,-0.087891,543,366,682,0.90625,5,1,27703,27904,27718,,144,318,2,12,1,3488,54811168
-281,621,-22,-0.172442,-0.281138,0.4191,1.762125,19.611975,1.997851,126,0.840454,11.085205,111.774902,128,1.40625,2.438965,-0.087891,543,366,681,0.90625,5,1,27723,27916,27735,,144,318,2,12,1,3488,54811276
-281,620,-22,-0.172442,-0.281136,0.447675,1.7907,19.650076,2.001489,126,0.950317,11.326904,111.763916,128,1.032715,2.351074,-0.153809,543,366,681,0.904297,5,1,27728,27924,27740,,144,318,2,12,1,3488,54811368
-281,620,-25,-0.172443,-0.281134,0.466725,1.857375,19.726274,2.009622,125,1.049194,11.56311,111.75293,128,1.010742,2.39502,-0.153809,542,365,681,0.904297,5,1,27740,27936,27753,,144,318,2,12,1,3488,54811476
-281,619,-25,-0.172444,-0.281132,0.561975,1.92405,19.954876,2.033414,125,1.170044,11.799316,111.73645,128,0.922852,2.329102,-0.197754,542,365,681,0.904297,5,1,27743,27948,27758,,144,318,2,12,1,3488,54811572
-281,619,-28,-0.172445,-0.28113,0.47625,2.19075,19.98345,2.040296,125,1.224976,12.035522,111.719971,128,0.966797,2.307129,-0.197754,542,365,680,0.902344,5,1,27758,27960,27770,,144,318,2,12,1,3488,54811676
-281,619,-28,-0.172445,-0.281129,0.638175,2.11455,19.897726,2.030243,125,1.373291,12.266235,111.708984,128,0.944824,2.197266,-0.153809,542,364,680,0.902344,5,1,27763,27972,27775,,144,318,2,12,1,3488,54811768
-281,618,-31,-0.172446,-0.281127,0.4953,2.22885,19.783424,2.019617,125,1.417236,12.485962,111.697998,128,0.461426,2.15332,-0.153809,541,364,679,0.900391,5,1,27785,27984,27798,,144,318,2,12,1,3488,54811876
-281,618,-32,-0.172447,-0.281125,0.676275,2.26695,19.888201,2.031073,125,1.494141,12.711182,111.692505,128,0.241699,2.175293,-0.087891,541,364,679,0.900391,5,1,27790,27996,27803,,145,318,2,12,1,3488,54811968
-281,617,-34,-0.172448,-0.281123,0.55245,2.276475,19.5453,1.99563,125,1.516113,12.930908,111.692505,128,0.043945,2.197266,-0.087891,541,363,678,0.900391,5,1,27808,28008,27820,,145,318,2,12,1,3489,54812080
